S.No;Project Title;Student;Organization;Website URL
233;Enhanced figure support in pandoc;Aner Lucero;Haskell.org;http://haskell.org
234;SciML : Discretizations of partial differential equations;Mohammed Jeeshan Sheikh;NumFOCUS;http://numfocus.org/
235;Graphical-User Interface for affective human-robot interactions;Aditya Kasibhatla;RoboComp;https://robocomp.org
236;💻 GSoC 2021: Improve Computer Vision Sample Apps of TensorFlow Lite;Sayan Nath;TensorFlow;https://www.tensorflow.org/
237;Transliterations editor and API;Vishv Kakadiya;Cuneiform Digital Library Initiative (CDLI);https://cdli.ucla.edu
238;Simultaneous path planning and following using Model Predictive Control (SPAF);Yassmin Hesham;RoboComp;https://robocomp.org
239;Reactome Pathway Embeddings;Lovro Vrcek;Open Genome Informatics;http://gmod.org/wiki/GSoC
240;A Feature Probe API for cilium/ebpf;rgo3;Cilium;https://cilium.io
241;Cookie Management System;Rishabh Ranjan Jha;Joomla!;https://www.joomla.org/
242;Implement 3D scene visualization support using Potree and integrate with MapMint;Aniket Giri;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
243;gghexbin: An R package to enable the creation of high quality hexagonally binned graphs that can exploit all of ggplot2’s functionality;Ajay-1;The R Project for Statistical Computing;https://www.r-project.org/
244;Improve and add to the drone exercises;Arkajyoti Basak;JdeRobot - Universidad Rey Juan Carlos;https://jderobot.github.io/
245;spectral-workbench.js JS/Rails integration (Public Lab);Mohammad Warid;Public Lab;https://publiclab.org
246;An orchestration system for MGnify running on distributed heterogeneous compute clusters;Ank;Genome Assembly and Annotation;http://www.ebi.ac.uk
247;Design and implementation of Code is Science front-end using ReactJS;Isaac Miti;Open Bioinformatics Foundation;http://open-bio.org
248;Differentiable GraphBLAS;William Kimmerer;The Julia Language;https://julialang.org
249;Improving Functionality of OpenMF-GSOC'21;Sachin Som;SCoRe Lab;http://www.scorelab.org/
250;Joomla Core Feature Enhancements;Yatharth Vyas;Joomla!;https://www.joomla.org/
251;EAT - EAP Additional Testsuite;Stefanos Vlachos;JBoss Community;http://www.jboss.org/
252;Project Strings: Improving strings support in Fortran;Aman Godara;Fortran-lang;https://fortran-lang.org
253;Eventyay Open Event : Refactor frontend in Ember to React, Improve features in Server;Meghal Bisht;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
254;MediaCMS - modern, fully featured video and media CMS;Shubhank Saxena;GFOSS - Open Technology Alliance;http://www.gfoss.eu
255;Support of the simulation-based inference with the model fitting toolbox;Ante Lojic Kapetanovic;INCF;http://incf.org
256;Implement 3D scene visualization support using Potree and integrate with MapMint;Aryan Kenchappagol;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
257;Developing WellcomeML further for the visualisation of academic research data;Federica Trevisan;Open Bioinformatics Foundation;http://open-bio.org
258;TLA+ Spec for Async Commit;Zhuoran He;CNCF;http://cncf.io
259;Improvemens to simpPRU;Archisman Dey;BeagleBoard.org Foundation;https://beagleboard.org
260;Bring professional efficiency to OpenWISP WiFi Login Pages;Sankalp (codesankalp);OpenWISP;http://openwisp.org
261;Finnish, Olonets-Karelian and Karelian lexicon development;Timo Rantakaulio;Apertium;http://wiki.apertium.org
262;LORIS Codebase Maintenance and Automated Testing;Viet Hoang;INCF;http://incf.org
263;Reimplementing Open Event Frontend in React;Sundaram Dubey;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
264;Beacon;Nishtha Bodani;CCExtractor Development;https://ccextractor.org/
265;Quantum Gate Decomposition for QuTip;Purva Thakre;NumFOCUS;http://numfocus.org/
266;Export and Import Feature for the OMRS Reporting Module;Heshan Andrews;OpenMRS;https://openmrs.org
267;Redesigning and Updating the Learner Dashboard Page.;Krishita Jain;Oppia Foundation;https://github.com/oppia/oppia
268;VulnerableCode importers refactoring and addition;Hritik Vijay;AboutCode;https://www.aboutcode.org
269;CCSDS Space Packet / USLDP Transport Layer for Python and MicroPython;Sidharth Shambu;LibreCube Initiative;https://librecube.org/
270;Improving Zulip Bots and Integrations.;Zixuan Li;Zulip;https://zulip.com
271;Learning Loop Transformation Heuristics;Ali Sedaghati;The LLVM Compiler Infrastructure;http://llvm.org
272;Implement a CheckBox Group in App Inventor;Hardik Thami;MIT App Inventor;http://appinventor.mit.edu
273;Dynamics Algorithmic Improvements;Alexander Galarraga;SageMath;https://www.sagemath.org/
